timestamp,a_current,a_voltage,a_act_power,a_aprt_power,a_pf,a_freq,b_current,b_voltage,b_act_power,b_aprt_power,b_pf,b_freq,c_current,c_voltage,c_act_power,c_aprt_power,c_pf,c_freq,n_current,total_current,total_act_power,total_aprt_power,user_calibrated_phase
1743609602,3.321,230.4,586.9,766.5,0.77,50.0,4.628,217.8,1005.6,1009.5,1.0,50.0,3.098,217.0,660.1,673.2,0.98,50.0,,11.048,2252.664,2449.219,[]
1743609661,3.283,232.2,583.2,763.2,0.76,50.1,4.563,214.1,974.7,978.4,0.99,50.1,3.105,217.6,663.5,676.3,0.98,50.1,,10.951,2221.391,2417.996,[]
1743609722,3.312,227.2,578.2,753.5,0.77,50.1,4.573,214.4,978.1,982.0,1.0,50.1,3.07,214.1,644.9,657.8,0.98,50.1,,10.954,2201.271,2393.301,[]
1743609782,3.273,228.6,573.9,749.1,0.77,50.1,4.499,210.3,943.5,947.8,1.0,50.1,3.082,215.1,650.8,663.8,0.98,50.1,,10.855,2168.13,2360.615,[]
1743609842,3.42,225.1,602.2,770.9,0.77,50.1,4.602,216.6,994.9,998.4,1.0,50.1,3.078,214.7,648.7,661.5,0.98,50.1,,11.1,2245.767,2430.815,[]
1743609901,3.418,225.0,595.9,770.1,0.78,50.1,4.606,213.7,981.8,985.9,1.0,50.0,3.078,214.9,649.5,662.2,0.98,50.1,,11.102,2227.211,2418.215,[]
1743609962,3.554,219.5,615.0,781.2,0.78,50.0,4.605,216.7,996.0,999.8,1.0,50.0,3.093,216.3,657.2,669.7,0.98,50.0,,11.252,2268.141,2450.733,[]
1743610022,3.6,219.2,622.9,790.2,0.79,50.0,4.591,215.9,989.4,993.1,1.0,50.0,3.082,215.3,651.9,664.5,0.98,50.0,,11.273,2264.221,2447.772,[]
1743610082,3.639,215.2,624.7,784.2,0.79,49.9,4.635,218.5,1010.8,1014.8,1.0,49.9,3.123,219.8,674.7,687.4,0.98,49.9,,11.397,2310.146,2486.347,[]
1743610142,3.576,221.8,624.5,794.1,0.79,49.9,4.577,215.1,982.1,986.0,1.0,50.0,3.103,217.7,663.9,676.5,0.98,50.0,,11.256,2270.479,2456.537,[]
1743610201,3.534,221.8,613.0,784.9,0.79,49.9,4.59,215.9,989.3,992.9,1.0,49.9,3.098,217.3,661.2,673.9,0.98,49.9,,11.222,2263.582,2451.642,[]
1743610261,3.561,224.6,627.7,801.1,0.78,50.0,4.575,214.3,979.0,982.2,1.0,50.0,3.075,214.4,647.0,659.8,0.98,50.0,,11.211,2253.656,2443.146,[]
