timestamp,a_current,a_voltage,a_act_power,a_aprt_power,a_pf,a_freq,b_current,b_voltage,b_act_power,b_aprt_power,b_pf,b_freq,c_current,c_voltage,c_act_power,c_aprt_power,c_pf,c_freq,n_current,total_current,total_act_power,total_aprt_power,user_calibrated_phase
1743616801,3.271,222.7,557.4,729.4,0.76,50.0,4.684,221.2,1034.6,1038.0,1.0,50.0,3.038,210.3,627.5,639.6,0.98,50.0,,10.993,2219.49,2407.062,[]
1743616862,3.183,222.9,538.3,710.6,0.76,50.0,4.687,221.6,1035.5,1040.5,1.0,50.0,3.032,209.6,624.0,636.1,0.98,50.0,,10.902,2197.805,2387.127,[]
1743616921,3.165,223.4,534.4,708.1,0.75,50.0,4.708,222.8,1047.5,1050.7,1.0,50.0,3.022,208.6,618.6,631.0,0.98,50.0,,10.895,2200.413,2389.802,[]
1743616982,3.061,226.8,516.0,695.1,0.75,50.0,4.637,218.1,1009.3,1013.3,1.0,50.0,3.026,208.9,620.2,632.8,0.98,50.0,,10.724,2145.454,2341.167,[]
1743617042,3.134,224.5,525.8,704.6,0.75,50.0,4.639,218.5,1011.8,1015.4,1.0,50.0,3.033,209.8,624.3,636.9,0.98,50.0,,10.805,2161.889,2356.93,[]
1743617101,3.167,220.2,530.0,698.4,0.76,50.0,4.684,221.0,1033.2,1037.1,1.0,50.0,3.077,214.8,649.2,661.6,0.98,50.0,,10.929,2212.441,2397.086,[]
1743617162,3.192,219.9,537.8,702.9,0.75,50.0,4.686,221.2,1034.7,1038.5,1.0,50.0,3.079,215.0,650.2,662.8,0.98,50.0,,10.957,2222.669,2404.219,[]
1743617222,8.699,218.0,1840.0,1898.8,0.97,50.0,4.673,221.5,1033.8,1036.7,1.0,50.0,3.062,213.3,641.4,654.0,0.98,50.0,,16.435,3515.234,3589.489,[]
1743617282,3.142,220.7,522.5,694.3,0.75,50.0,4.657,220.1,1023.4,1026.7,1.0,50.0,3.223,215.1,678.0,694.1,0.98,50.0,,11.022,2223.796,2415.154,[]
1743617342,8.745,212.8,1816.2,1863.7,0.97,50.0,4.673,221.4,1033.6,1036.5,1.0,50.0,3.241,217.7,690.0,706.2,0.98,50.0,,16.659,3539.795,3606.362,[]
1743617402,8.766,210.5,1799.7,1847.7,0.97,50.0,4.677,221.9,1036.1,1039.7,1.0,50.0,3.242,217.8,691.5,707.0,0.98,50.0,,16.684,3527.262,3594.35,[]
1743617461,3.191,218.8,528.3,699.0,0.75,50.0,4.658,219.6,1021.7,1024.6,1.0,50.0,3.227,216.3,683.1,698.6,0.98,50.0,,11.076,2233.116,2422.118,[]
1743617522,3.187,218.2,524.5,696.5,0.75,50.0,4.65,219.7,1019.9,1023.4,1.0,50.0,3.093,216.4,657.7,670.2,0.98,50.0,,10.93,2202.129,2390.088,[]
1743617582,3.21,217.7,530.8,699.6,0.76,50.0,4.666,220.5,1026.1,1030.7,1.0,50.0,3.06,212.6,639.5,651.3,0.98,50.0,,10.935,2196.392,2381.592,[]
1743617641,3.192,217.0,526.2,693.5,0.76,50.0,4.725,223.8,1054.6,1059.3,1.0,50.0,3.052,211.8,635.0,647.0,0.98,50.0,,10.969,2215.789,2399.862,[]
1743617702,3.211,217.2,528.9,698.4,0.75,50.0,4.73,223.7,1056.1,1059.8,1.0,50.0,3.049,211.5,633.4,645.7,0.98,50.0,,10.991,2218.363,2403.95,[]
1743617761,3.185,217.5,520.7,693.9,0.75,50.0,4.733,223.8,1056.7,1060.9,1.0,50.0,3.046,211.2,632.3,644.1,0.98,50.0,,10.964,2209.665,2398.835,[]
1743617822,3.184,217.8,525.5,694.5,0.76,50.0,3.089,222.5,682.4,688.6,0.99,50.0,3.045,210.8,630.0,642.7,0.98,50.0,,9.318,1837.886,2025.828,[]
1743617882,3.205,218.8,528.6,702.2,0.76,50.0,3.081,219.4,671.5,677.2,0.99,50.0,3.095,216.5,658.6,671.0,0.98,50.0,,9.382,1858.78,2050.389,[]
1743617941,3.165,218.2,523.8,691.4,0.76,50.0,3.072,221.7,676.6,682.3,0.99,50.0,3.085,215.6,653.9,665.9,0.98,50.0,,9.321,1854.271,2039.522,[]
