timestamp,a_current,a_voltage,a_act_power,a_aprt_power,a_pf,a_freq,b_current,b_voltage,b_act_power,b_aprt_power,b_pf,b_freq,c_current,c_voltage,c_act_power,c_aprt_power,c_pf,c_freq,n_current,total_current,total_act_power,total_aprt_power,user_calibrated_phase
1743613202,3.603,211.2,602.6,761.7,0.77,50.0,4.604,215.7,991.0,994.7,1.0,50.0,3.348,212.2,688.5,711.1,0.97,50.0,,11.555,2282.036,2467.539,[]
1743613262,3.394,207.6,552.0,705.7,0.78,50.0,4.606,216.6,995.5,999.4,1.0,50.0,3.427,221.6,739.8,760.3,0.97,50.0,,11.427,2287.352,2465.487,[]
1743613321,3.423,210.9,565.6,723.0,0.78,50.1,4.547,213.0,965.7,970.1,0.99,50.1,3.415,221.2,734.5,756.4,0.97,50.1,,11.385,2265.769,2449.471,[]
1743613382,3.384,209.2,546.5,708.9,0.77,50.0,4.659,219.9,1021.1,1026.2,1.0,50.0,3.401,219.9,729.0,748.8,0.97,50.0,,11.445,2296.554,2483.891,[]
1743613441,3.393,211.4,552.2,718.5,0.77,50.0,4.55,213.4,968.8,972.6,1.0,50.0,3.403,220.2,728.1,750.2,0.97,50.0,,11.346,2249.114,2441.228,[]
1743613501,3.404,210.8,552.7,718.6,0.77,50.0,4.623,217.6,1004.0,1007.9,1.0,50.0,3.407,220.1,728.8,750.5,0.97,50.0,,11.434,2285.468,2477.01,[]
1743613562,3.361,211.9,547.8,713.0,0.77,50.0,4.561,214.0,973.5,977.5,1.0,50.0,3.413,220.7,732.6,754.2,0.97,50.0,,11.335,2253.842,2444.728,[]
1743613621,3.458,206.5,554.9,714.9,0.78,50.0,4.72,218.8,1025.4,1034.4,1.0,50.0,3.424,221.3,736.4,758.6,0.97,50.0,,11.601,2316.741,2507.896,[]
1743613682,3.361,219.0,562.7,737.0,0.76,50.0,4.563,214.2,974.8,979.1,1.0,50.0,3.38,216.4,709.6,732.2,0.97,50.0,,11.304,2247.096,2448.328,[]
1743613741,3.316,218.0,552.1,723.7,0.76,50.0,4.585,215.4,986.1,989.6,1.0,50.0,3.506,220.3,746.0,773.4,0.97,50.0,,11.407,2284.189,2486.633,[]
1743613801,3.345,219.7,566.2,736.0,0.77,50.0,4.518,211.7,954.6,958.1,1.0,50.0,3.504,220.3,745.3,772.7,0.97,49.9,,11.367,2266.122,2466.849,[]
1743613862,3.293,220.1,555.3,725.9,0.77,50.0,4.586,215.7,987.1,990.7,1.0,50.0,3.469,215.4,721.3,748.1,0.96,50.0,,11.347,2263.632,2464.763,[]
1743613921,3.308,220.3,558.4,729.7,0.76,50.0,4.618,217.2,1001.1,1004.9,1.0,50.0,3.463,214.4,716.6,743.4,0.96,50.0,,11.388,2275.997,2478.104,[]
1743613982,3.308,219.7,554.1,728.0,0.76,50.0,4.631,217.9,1007.0,1010.9,1.0,50.0,3.367,214.6,700.9,723.2,0.97,50.0,,11.306,2261.917,2462.055,[]
1743614041,3.32,220.4,559.2,732.6,0.76,50.0,4.623,218.0,1006.0,1009.3,1.0,50.0,3.464,214.7,717.6,744.5,0.96,50.0,,11.407,2282.726,2486.414,[]
1743614101,3.274,219.8,545.6,720.7,0.76,50.0,4.613,217.2,999.1,1003.5,1.0,50.0,3.466,215.0,719.3,746.0,0.96,50.0,,11.352,2264.002,2470.281,[]
